,day,count
0,02/Jul/1995,291
1,21/Aug/1995,305
2,06/Aug/1995,373
3,16/Jul/1995,257
4,07/Aug/1995,537
5,11/Aug/1995,263
6,27/Jul/1995,336
7,07/Jul/1995,570
8,17/Jul/1995,406
9,15/Jul/1995,254
10,18/Jul/1995,465
11,26/Jul/1995,336
12,03/Aug/1995,304
13,18/Aug/1995,256
14,17/Aug/1995,271
15,14/Aug/1995,287
16,10/Jul/1995,398
17,04/Jul/1995,359
18,20/Aug/1995,312
19,20/Jul/1995,428
20,24/Aug/1995,420
21,27/Aug/1995,370
22,13/Aug/1995,216
23,15/Aug/1995,327
24,28/Jul/1995,94
25,12/Jul/1995,471
26,25/Aug/1995,415
27,06/Jul/1995,640
28,22/Aug/1995,288
29,08/Aug/1995,391
30,22/Jul/1995,192
31,01/Jul/1995,316
32,23/Jul/1995,233
33,21/Jul/1995,334
34,23/Aug/1995,345
35,19/Aug/1995,209
36,24/Jul/1995,328
37,26/Aug/1995,366
38,31/Aug/1995,526
39,28/Aug/1995,410
40,04/Aug/1995,346
41,12/Aug/1995,196
42,19/Jul/1995,639
43,30/Aug/1995,571
44,05/Aug/1995,236
45,08/Jul/1995,302
46,09/Jul/1995,348
47,01/Aug/1995,243
48,25/Jul/1995,461
49,05/Jul/1995,497
50,11/Jul/1995,471
51,29/Aug/1995,420
52,13/Jul/1995,532
53,16/Aug/1995,259
54,09/Aug/1995,279
55,10/Aug/1995,315
56,14/Jul/1995,413
57,03/Jul/1995,474
